Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,Age,Population,GDP,H-Rank,A-Rank,HC. Tenure,HC. Nationality,HC. Age,AC. Tenure,AC. Nationality,AC. Age
SP1,13/12/08,Barcelona,Real Madrid,2,0,H,0,0,D,19,6,8,3,13,19,3,5,0,0,1.57,3.8,6,-0.7,-0.035,-0.16,1,6,0,1,37,0,1,54
SP1,2/5/09,Real Madrid,Barcelona,2,6,A,1,3,A,5,17,4,13,22,9,4,2,0,0,2.5,3.4,2.75,-0.5,0.035,0.16,2,1,0,1,54,0,1,37
SP1,29/11/09,Barcelona,Real Madrid,1,0,H,0,0,D,9,16,4,2,17,25,0,4,1,1,1.85,3.6,4,1.9,-0.035,-0.19,1,2,1,1,38,0,0,56
SP1,10/4/10,Real Madrid,Barcelona,0,2,A,0,1,A,16,8,7,4,30,15,4,4,0,0,2.5,3.4,2.7,-1.7,0.035,0.19,2,1,0,0,56,1,1,38
SP1,29/11/10,Barcelona,Real Madrid,5,0,H,2,0,H,15,5,6,2,12,16,5,7,0,1,2.1,3.3,3.5,-1.5,-0.035,-0.18,1,2,2,1,39,0,0,47
SP1,16/04/11,Real Madrid,Barcelona,1,1,D,0,0,D,13,11,6,6,22,14,2,5,1,0,2.75,3.6,2.38,-0.8,0.035,0.18,2,1,0,0,47,2,1,39
SP1,10/12/11,Real Madrid,Barcelona,1,3,A,1,1,D,17,12,5,7,22,13,4,3,0,0,2.4,3.5,2.8,-1.3,0.034,0.2,1,2,1,0,48,3,1,40
SP1,21/04/12,Barcelona,Real Madrid,1,2,A,0,1,A,14,14,3,6,11,20,2,4,0,0,1.62,4,5,-0.1,-0.034,-0.2,2,1,3,1,40,1,0,48
SP1,7/10/12,Barcelona,Real Madrid,2,2,D,1,1,D,10,10,2,3,17,16,2,4,0,0,1.83,4,3.75,-0.1,-0.0344,-0.21,1,2,0,1,44,2,0,49
SP1,2/3/13,Real Madrid,Barcelona,2,1,H,1,1,D,14,5,6,2,21,19,4,6,0,1,2.88,3.6,2.3,1,0.344,0.21,2,1,2,0,49,0,1,44
SP1,26/10/13,Barcelona,Real Madrid,2,1,H,1,0,H,12,10,5,6,19,16,2,5,0,0,1.75,4,4.33,2.6,-0.0335,-0.2,1,3,0,0,53,0,0,54
SP1,23/03/14,Real Madrid,Barcelona,3,4,A,2,2,D,13,18,8,6,24,12,5,2,1,0,2.25,3.5,3,-0.1,0.0335,0.2,2,1,0,0,54,0,0,53
